氏名,ふりがな,住所,緯度,経度,年齢,性別,前職業界コード,生年月日,電話番号,通勤手段,希望通勤時間,予想事業所受取時給,予想支払時給,希望勤務時間
西本 宏昭,にしもと ひろあき,東京都狛江市東野川2-3-20ソルステージュ702,43.06488,141.3469,91歳,男,C,1932-03-02,090-0338-4722,電車,160,1450,2700,4
富井 順二,とみい じゅんじ,東京都文京区千石2-2-3,40.82464,140.74361,76歳,男,S,1946-10-02,050-0901-1984,徒歩,40,1500,2200,6
加藤 章子,かとう あきこ,北海道美唄市東一条北1-1-19ソルステージュ813,39.70385,141.1527,93歳,女,A,1930-01-23,050-4941-3078,自転車,50,1850,2100,6
青木 拓也,あおき たくや,大阪府大阪市港区弁天3-4-907,38.26850,140.87134,14歳,男,R,2008-07-12,090-9466-4080,電車,50,1600,2800,8
福重 正宏,ふくしげ まさひろ,茨城県日立市久慈町2-4-9ドムール813,39.71861,140.10268,36歳,男,T,1986-12-06,080-1363-8762,バス,60,1700,2300,1
小澤 章人,おざわ あきひと,大阪府大阪市淀川区木川東1-3-8,38.24088,140.36324,31歳,男,Q,1991-12-14,070-3336-7579,電車,120,1100,2600,4
大曽根 貴裕,おおそね たかひろ,東京都文京区小石川1-5-3,37.7512,140.46738,89歳,男,D,1933-11-13,070-4791-2634,自転車,90,1650,2800,5
五十嵐 裕子,いがらし ゆうこ,神奈川県横浜市港北区高田西3-2-4,36.34158,140.44631,33歳,女,D,1990-05-26,050-6797-8033,徒歩,70,1650,2900,1
古瀬 涼子,ふるせ りょうこ,東京都江東区北砂3-1-6ヴェルビュ606,36.56579,139.88373,56歳,女,R,1967-03-14,050-6936-8547,徒歩,50,1800,2850,2
坂口 正文,さかぐち まさふみ,埼玉県坂戸市西坂戸3-3-14,36.39165,139.06031,46歳,男,C,1977-02-11,070-6809-6695,電車,100,1850,2850,4
川北 剛久,かわきた たけひさ,北海道札幌市東区北十三条東3-2-8,35.85678,139.64874,38歳,男,K,1985-01-28,080-7158-5274,自転車,40,1150,2950,3
大島 正二,おおしま しょうじ,東京都新宿区新宿3-5-17,35.60450,140.12317,97歳,男,J,1925-08-24,080-7855-3639,電車,60,1100,2850,8
吉田 健史,よしだ たけし,東京都台東区元浅草4-2-8,35.68913,139.69179,90歳,男,S,1932-07-05,090-0264-1319,徒歩,90,1200,2900,3
狩野 巧,かの たくみ,神奈川県横浜市中区長者町1-2-4,35.44795,139.64270,23歳,男,I,1999-12-08,080-0393-0841,バス,150,1450,2250,4
多田 真輔,ただ しんすけ,神奈川県座間市相模が丘1-3-6,37.90266,139.02381,91歳,男,B,1932-04-06,050-3099-2974,自転車,90,1900,2150,10
日比 ゆう子,ひび ゆうこ,千葉県八千代市ゆりのき台1-1-11ブリッジコート704,36.69524,137.21111,21歳,女,M,2002-03-11,050-1461-4878,徒歩,50,1100,2050,9
岡 弘志,おか ひろし,北海道札幌市北区屯田四条2-2-20,36.59473,136.62545,46歳,男,O,1977-02-13,070-2710-4616,バス,140,1950,2050,1
木下 雄一郎,きのした ゆういちろう,東京都大田区西六郷4-2-4,36.06510,136.22136,71歳,男,P,1951-09-10,080-4523-3957,電車,100,1500,2950,4
内山 創,うちやま はじめ,福井県福井市上森田3-2-3プレサンスグラン707,35.66345,138.56871,6歳,男,S,2017-05-02,080-2290-7711,自転車,30,1600,2950,4
藤野 弥生,ふじの やよい,千葉県市川市北方町2-2-13,36.65164,138.18125,71歳,女,G,1952-05-18,080-9096-7287,徒歩,100,1900,2800,6
中嶋 千絵,なかじま ちえ,神奈川県川崎市宮前区東有馬1-3-18,35.39137,136.72276,83歳,その他・不明,Q,1939-10-12,070-5596-9064,徒歩,40,1700,2100,9
久米 翔,くめ しょう,東京都杉並区高円寺南1-3-4,34.97689,138.38326,8歳,男,M,2014-12-05,080-0597-4065,電車,160,1150,2250,6
鳥羽 恵津子,とば えつこ,宮城県仙台市青葉区中央1-3-9,35.18059,136.90661,70歳,女,S,1952-11-18,080-5399-0252,徒歩,60,1050,2800,10
小坂井 将,こざかい まさる,大阪府豊中市東豊中町3-4-16,34.73079,136.5089,5歳,男,C,2018-05-29,090-0046-0647,徒歩,170,1500,2400,3
佐藤 亜紀子,さとう あきこ,長崎県長崎市横尾2-4-608サンライフ805,35.00494,135.86852,40歳,女,P,1983-02-06,090-9276-2312,電車,70,1550,2350,1
浅井 博美,あさい ひろみ,福岡県糟屋郡篠栗町中央1-2-605,35.02119,135.75592,44歳,女,O,1979-03-20,070-2672-8872,電車,60,1350,2200,5
後藤 義也,ごとう よしや,東京都渋谷区千駄ヶ谷2-3-807アドリーム311,34.68618,135.52750,98歳,男,S,1925-05-06,080-6153-0069,バス,80,1050,2800,5
川田 明香,かわた さやか,東京都千代田区外神田3-5-9クレアガーデン814,34.69196,135.18374,98歳,女,I,1925-01-07,090-6407-3391,バス,170,1400,2500,3
山ノ井 幸太,やまのい こうた,新潟県新潟市東区東明3-5-8エスペランス104,34.68527,135.83234,77歳,男,M,1945-09-07,090-4676-0340,自転車,70,2000,3000,10
中川 哲哉,なかがわ てつや,北海道札幌市北区北十三条西1-2-9,34.22629,135.16751,87歳,男,N,1935-07-30,070-2671-2064,自転車,80,1950,2050,6
米永 とおる,よねなが とおる,東京都墨田区石原3-5-17,35.50338,134.23850,13歳,男,S,2010-03-23,050-7849-0020,徒歩,160,1650,2150,3
金子 賢治,かねこ けんじ,群馬県安中市安中4-2-6,35.47259,133.05092,60歳,男,K,1962-07-09,080-8813-7662,電車,50,1250,3000,3
西本 莉子,にしもと りこ,大阪府大阪市中央区本町3-2-18,34.66179,133.93561,0歳,女,H,2022-10-07,080-5734-5230,電車,90,1300,2050,4
松崎 周平,まつざき しゅうへい,東京都練馬区下石神井1-3-22,34.39666,132.45980,32歳,男,I,1991-02-26,050-3674-1202,徒歩,60,1300,2200,6
山口 高,やまぐち たかし,大阪府大阪市阿倍野区松崎町1-5-807ウォームスヴィル101,34.18548,131.47175,19歳,男,B,2003-10-23,080-0932-8971,徒歩,60,1700,2850,1
清水 梨沙,しみず りさ,大阪府大阪市福島区吉野3-1-1205,34.0655,134.55940,65歳,女,O,1957-07-27,080-9853-6242,徒歩,180,1450,2500,7
金田 昌弘,かねだ まさひろ,埼玉県上尾市柏座2-1-8,34.34038,134.04330,66歳,その他・不明,O,1956-11-19,080-6267-7980,自転車,70,1800,2550,6
大崎 茂樹,おおさき しげき,神奈川県藤沢市鵠沼桜が岡1-4-1203,33.84180,132.76684,70歳,男,F,1952-10-27,070-3683-4846,自転車,140,2000,2400,1
笹井 ケンイチ,ささい けんいち,大阪府大阪市中央区南船場2-5-5,33.55989,133.53124,19歳,男,R,2003-08-28,070-9530-0367,電車,30,1400,2100,6
前田 良太,まえだ りょうた,東京都墨田区両国2-5-1004,33.60616,130.41830,40歳,男,M,1983-03-20,090-5448-1470,バス,100,1650,2300,2
白坂 正孝,しらさか まさたか,北海道札幌市豊平区平岸二条1-2-1001,33.2499,130.29843,57歳,男,L,1965-08-19,070-5343-1100,バス,160,2000,2400,5
納富 祥子,のうとみ しょうこ,東京都江東区南砂4-2-6,32.74440,129.87397,32歳,女,K,1990-07-27,050-9319-6182,徒歩,110,1650,3000,9
池内 祐介,いけうち ゆうすけ,北海道札幌市手稲区手稲本町四条3-5-19,32.78940,130.74139,17歳,男,A,2006-02-16,050-9565-5922,徒歩,180,1350,2700,3
瀧澤 英彦,たきざわ ひでひこ,奈良県香芝市畑1-1-10,33.23825,131.61229,29歳,男,M,1993-08-27,050-2655-7327,自転車,160,1100,2600,3
片岡 哲也,かたおか てつや,神奈川県川崎市幸区塚越4-3-5ペルル716,31.91174,131.42322,8歳,男,O,2014-11-15,070-7082-5943,徒歩,110,1950,2700,5
岡本 瑞貴,おかもと みずき,埼玉県越谷市赤山町4-3-7,31.56096,130.5588,88歳,男,S,1934-06-24,070-0794-2146,電車,90,1200,2800,1
小林 敬,こばやし たかし,大阪府大阪市中央区高麗橋2-4-16,26.21261,127.68193,79歳,男,Q,1943-08-05,080-4622-8688,バス,20,2000,2400,9
田中 聡美,たなか さとみ,東京都港区赤坂4-1-8,34.97642,138.38356,50歳,女,A,1972-07-29,050-2292-1270,自転車,80,1100,2900,10
伊藤 靖子,いとう やすこ,兵庫県神戸市中央区北長狭通3-2-201,35.1802,136.90680,9歳,女,O,2013-09-25,080-6540-8637,自転車,70,1150,3000,7
牧野 聖子,まきの せいこ,愛知県一宮市篭屋1-3-8,34.73079,136.508100,97歳,女,Q,1926-03-08,070-0255-8740,自転車,130,1550,2600,7
今道 智,いまみち とも,東京都中央区築地3-3-17,35.00499,135.86886,23歳,男,P,2000-01-29,050-6548-0804,徒歩,20,1550,2700,3
露木 茂之,つゆき しげゆき,埼玉県所沢市小手指町1-1-6,35.02160,135.75516,92歳,男,A,1930-10-09,070-7354-7425,電車,50,1200,2650,6
尾崎 彩,おざき あや,神奈川県小田原市本町1-2-16エクセレンス410,34.6860,135.52764,10歳,女,J,2013-04-16,070-2288-1404,徒歩,90,1700,2200,5
山形 昭彦,やまがた あきひこ,兵庫県神戸市中央区磯上通1-5-401アーバニス714,34.69112,135.18320,47歳,男,H,1975-10-09,080-7076-3425,バス,70,1650,2650,1
村田 賢二,むらた けんじ,埼玉県川口市並木1-2-1203,34.68537,135.83219,95歳,その他・不明,P,1928-01-30,090-6578-7493,バス,140,1800,2200,7
舛田 隆史,ますだ たかし,東京都葛飾区東立石2-3-6ハイタウン114,34.22617,135.1677,32歳,男,T,1990-08-22,070-0131-8122,自転車,160,1350,2800,7
佐々木 敬子,ささき けいこ,福岡県太宰府市梅香苑2-3-8,35.50391,134.23845,44歳,その他・不明,Q,1979-03-14,080-8393-4419,徒歩,10,1700,2200,8
大下 創,おおした はじめ,大阪府大阪市中央区高麗橋2-4-1005グリーンマンション712,35.4727,133.05012,45歳,男,P,1978-05-29,050-5515-8062,バス,130,1200,2250,8
古田 哲,ふるた さとし,東京都港区南青山1-4-12,34.66147,133.93533,70歳,男,E,1952-06-12,080-7010-1671,バス,10,1350,2150,4
川口 梨恵,かわぐち りえ,宮崎県宮崎市生目台東4-3-4,34.39679,132.45931,67歳,女,J,1955-07-20,050-6851-2930,自転車,110,1350,2400,6
明石 佑介,あかし ゆうすけ,広島県福山市草戸町2-3-19,34.18589,131.47138,62歳,男,F,1960-09-21,090-3477-5492,バス,40,2000,2750,8
渋谷 鈴香,しぶや すずか,東京都新宿区北新宿3-4-1006,34.06591,134.55962,13歳,女,M,2010-05-18,080-8148-0175,電車,80,1150,2900,10
酒井 淳子,さかい じゅんこ,広島県福山市松浜町2-5-13,34.34024,134.04339,56歳,女,J,1967-02-19,080-2855-8503,自転車,180,1450,3000,1
岡田 陽介,おかだ ようすけ,愛知県名古屋市千種区末盛通4-3-10アパ814,33.8412,132.76617,10歳,男,J,2012-12-15,090-4109-5988,自転車,10,1350,2200,9
吉田 彩子,よしだ さいこ,神奈川県相模原市中央区東淵野辺3-2-10,33.55911,133.53115,60歳,女,F,1962-12-28,090-4866-5049,バス,70,1700,2800,6
吉澤 徹朗,よしざわ てつろう,大阪府大阪市淀川区宮原3-3-10,33.60628,130.41848,72歳,男,D,1950-09-07,090-2336-3174,自転車,110,1200,2500,4
伊藤 美穂子,いとう みほこ,東京都渋谷区神宮前1-3-5,33.2497,130.2987,30歳,女,N,1993-05-20,050-8550-3578,電車,40,1650,2600,1
武内 伸之,たけうち のぶゆき,東京都品川区南品川1-3-10,32.74482,129.87357,89歳,男,R,1933-09-20,080-9137-9646,徒歩,80,2000,2950,7
柳生 俊行,やぎゅう としゆき,東京都品川区上大崎1-1-10,32.78970,130.74153,95歳,男,D,1927-11-04,050-6487-2568,電車,180,1300,2500,6
柳 ゆかり,やなぎ ゆかり,東京都杉並区高円寺南2-2-9,33.23878,131.61293,25歳,女,N,1997-07-08,050-2076-4986,自転車,60,1500,2550,6
鈴木 和孝,すずき かずたか,東京都台東区浅草橋1-5-13,31.91157,131.42332,13歳,男,N,2010-04-30,070-0828-4767,バス,60,1400,2150,6
稲葉 薫,いなば かおる,群馬県前橋市南町3-1-302ドムールコスモス804,31.56062,130.55852,25歳,女,O,1997-08-11,080-8546-4793,電車,70,1950,2600,3
多根 博之,たね ひろゆき,東京都中野区中野2-5-13パレス105,26.21266,127.6819,59歳,男,A,1964-03-05,080-4928-3876,自転車,100,1900,2700,6
山田 直樹,やまだ なおき,東京都新宿区西新宿3-2-8,34.97644,138.38369,6歳,男,D,2017-04-05,070-9527-5932,徒歩,120,1250,2900,10
中西 邦彦,なかにし くにひこ,神奈川県横須賀市大津町4-3-10,35.18065,136.90643,17歳,男,Q,2005-07-19,070-4337-2119,バス,130,1800,2800,2
横山 佳奈,よこやま かな,静岡県静岡市葵区安西4-2-9,34.73011,136.50855,92歳,女,N,1930-07-14,050-1020-7478,自転車,20,1350,2550,9
奥田 樹里,おくだ じゅり,東京都新宿区高田馬場4-1-4,35.00427,135.86817,30歳,女,A,1993-02-16,090-8684-8154,電車,170,1950,2100,8
鈴木 由奈,すずき ゆな,埼玉県草加市弁天2-5-15,35.02163,135.75532,83歳,女,G,1939-06-19,070-2031-4081,自転車,130,1800,3000,7
森崎 浩二,もりさき こうじ,東京都渋谷区広尾2-2-22,34.68656,135.52762,40歳,男,Q,1982-09-17,050-8117-7584,自転車,10,1700,2300,9
林 勇人,はやし はやと,埼玉県川口市本町2-2-6,34.69114,135.1837,38歳,男,I,1985-04-08,070-3765-6877,徒歩,30,1300,2750,3
牛島 沙織,うしじま さおり,北海道札幌市南区澄川三条2-1-9,34.68553,135.83249,26歳,女,D,1996-10-06,070-8293-8857,電車,140,1850,2100,6
加藤 麻衣,かとう まい,北海道釧路市文苑2-4-20,34.2264,135.16792,29歳,女,T,1994-01-15,090-8511-2281,電車,100,2000,2450,2
佐藤 たかひろ,さとう たかひろ,福岡県福岡市中央区平尾2-5-19,35.50353,134.2380,74歳,男,O,1949-04-11,050-3476-7620,自転車,180,1900,2500,4
松下 育恵,まつした いくえ,東京都江戸川区西葛西3-5-5,35.4721,133.05047,99歳,女,E,1924-05-30,050-1061-2040,電車,150,1300,2450,9
松岡 洋祐,まつおか ようすけ,大阪府大阪市淀川区西中島2-5-8,34.66175,133.935100,29歳,男,R,1994-04-29,090-2951-4254,バス,70,1200,2050,5
高橋 久美子,たかはし くみこ,北海道恵庭市柏木町2-2-17,34.39645,132.45996,64歳,女,M,1958-07-10,050-8950-0357,自転車,160,1750,2950,1
中川 伸,なかがわ しん,愛知県名古屋市南区弥次ヱ町3-2-6,34.18577,131.47192,9歳,男,J,2014-03-22,080-8654-3440,自転車,60,1200,2500,1
三浦 哲也,みうら てつや,東京都東村山市青葉町2-1-3,34.0656,134.55912,51歳,男,A,1971-10-23,070-4139-0149,徒歩,110,1800,2950,7
山際 哲也,やまぎわ てつや,東京都昭島市玉川町4-1-8,34.34047,134.04390,75歳,男,C,1947-09-04,080-3235-3857,自転車,120,1600,2300,1
亀山 和成,かめやま かずなり,東京都港区新橋1-2-3,33.8417,132.76698,11歳,男,G,2012-03-21,050-1132-5408,自転車,50,1950,2250,1
上杉 亮太,うえすぎ りょうた,北海道函館市本通3-1-505,33.55923,133.53197,26歳,男,K,1997-01-21,050-9122-0214,電車,120,1400,2650,10
中居 幸治,なかい こうじ,千葉県千葉市美浜区磯辺1-2-15ロイヤルハイツ614,33.60633,130.41810,12歳,男,C,2011-05-11,080-2521-7339,徒歩,150,1900,2150,1
林 憲治,はやし けんじ,東京都港区赤坂1-1-4セントポリア415,33.2491,130.29842,29歳,男,G,1994-01-10,070-7037-7418,電車,180,1100,2950,6
池永 佳子,いけなが よしこ,佐賀県佐賀市水ヶ江2-1-3,32.74461,129.8731,46歳,女,N,1977-05-17,080-4428-6255,電車,70,1150,2650,2
田中 貴宏,たなか たかひろ,兵庫県神戸市中央区元町通1-5-14,32.78950,130.74168,17歳,男,T,2005-08-31,080-0631-4914,徒歩,150,1150,2550,4
小山 佳子,こやま よしこ,東京都三鷹市下連雀4-2-8,33.23888,131.61211,36歳,女,N,1987-04-27,080-7800-7970,電車,170,1500,2900,7
西村 愛子,にしむら あいこ,愛知県名古屋市西区枇杷島2-1-9,31.9111,131.42372,48歳,女,K,1975-03-31,070-4030-5341,電車,100,1300,2750,3
斎藤 和子,さいとう かずこ,福岡県福岡市西区姪浜駅南4-3-4,31.56011,130.55825,32歳,女,E,1991-05-02,080-8078-2727,自転車,100,1400,2950,3
渡邊 優,わたなべ ゆう,岐阜県岐阜市西荘3-1-13,26.21293,127.68175,1歳,男,M,2021-11-24,080-0277-9970,徒歩,170,1500,2950,10
藤井 裕司,ふじい ゆうじ,東京都江戸川区春江町3-2-5,34.9769,138.38366,56歳,男,D,1967-02-06,050-6372-5383,電車,90,2000,2700,9
寺本 桂子,てらもと けいこ,東京都杉並区永福2-4-201リビオ607,35.18049,136.90673,97歳,女,D,1925-06-15,090-2164-8263,バス,60,1700,2200,9
西 和,にし かず,大阪府大阪市中央区博労町1-5-6,34.73017,136.50814,35歳,女,D,1987-08-31,090-8281-8828,電車,140,1200,2200,4
本城 和宏,ほんじょう かずひろ,愛知県一宮市本町1-3-7,35.00497,135.86895,55歳,男,M,1967-11-19,090-1632-2972,自転車,40,1700,2200,10
和田 暢之,わだ のぶゆき,福岡県福岡市南区和田3-2-4,35.02126,135.75517,66歳,男,E,1957-02-16,080-3715-3130,徒歩,140,1550,2450,6
池 正和,いけ まさかず,千葉県市川市南八幡3-4-8,34.6861,135.52781,7歳,男,N,2016-04-14,080-5563-5003,自転車,150,1050,2350,7
河本 篤,かわもと あつし,東京都杉並区高円寺南2-5-11グリーンエクセル614,34.69115,135.18332,2歳,男,E,2020-09-22,050-6456-9361,自転車,90,1550,2350,9
山家 祐太,やまが ゆうた,神奈川県藤沢市辻堂元町2-3-1203,34.68593,135.83231,84歳,男,A,1939-04-16,090-7912-2728,徒歩,70,1850,2900,4
井上 恭子,いのうえ きょうこ,愛知県名古屋市港区当知2-5-16サンシャイン609,34.22661,135.16774,85歳,女,R,1938-05-07,070-0033-8376,電車,130,1600,2500,2
酒井 淳二,さかい じゅんじ,福岡県大野城市錦町2-5-21,35.50397,134.23842,53歳,男,C,1970-01-11,050-6371-4399,自転車,10,1100,2850,9
倉石 健二,くらいし けんじ,東京都渋谷区本町1-5-13ドルフ804,35.47232,133.05071,71歳,男,R,1951-07-13,070-9402-6039,徒歩,10,1350,2150,1
中谷 毅,なかたに たかし,栃木県宇都宮市富士見が丘1-4-10,34.66162,133.93574,89歳,男,S,1934-05-07,090-4564-1495,電車,110,1900,2550,4
岡田 新,おかだ しん,東京都府中市日新町1-3-7,34.39675,132.45946,60歳,男,E,1962-11-30,090-5190-3512,バス,110,1050,2550,4
尾身 正広,おみ まさひろ,千葉県船橋市夏見台3-1-10,34.18572,131.47129,31歳,男,H,1991-10-02,090-8452-4347,徒歩,180,1500,2350,10
越 晋,こし すすむ,大阪府大阪市生野区巽東1-1-21,34.06537,134.55974,41歳,男,L,1982-05-22,070-6170-3577,バス,130,1650,2200,3
宇野 真之,うの まさゆき,大阪府大阪市平野区加美東3-3-104,34.34044,134.04392,66歳,男,J,1957-01-08,070-0548-8416,自転車,40,1500,2500,9
吉山 大貴,よしやま たいき,東京都葛飾区金町2-3-4,33.84181,132.76655,25歳,男,J,1998-03-01,070-0460-2964,徒歩,80,1800,2900,9
森 大介,もり だいすけ,福岡県那珂川市今光1-1-22ヴェルドール807,33.55941,133.53179,36歳,その他・不明,R,1986-09-18,080-5142-6704,徒歩,30,1500,2800,3
千野 玲奈,ちの れな,愛知県豊田市昭和町2-2-10,33.60688,130.41891,88歳,女,Q,1934-10-09,050-2167-5766,電車,80,1850,2950,9
吉田 直人,よしだ なおと,東京都豊島区東池袋3-2-904,33.2494,130.29857,55歳,男,Q,1967-12-03,090-2995-2884,自転車,140,1050,2500,2
藤田 敏彦,ふじた としひこ,大阪府八尾市緑ヶ丘3-3-15ロイヤル115,32.7444,129.87395,45歳,男,G,1977-06-21,070-8240-3531,徒歩,150,1400,2150,1
湯谷 剛弘,ゆたに たけひろ,千葉県木更津市東太田3-1-7,32.78940,130.74184,5歳,男,O,2018-04-15,050-3621-1374,徒歩,30,1200,2300,7
金井 俊輔,かない しゅんすけ,東京都江東区森下3-5-5,33.23878,131.61229,76歳,男,T,1946-08-30,090-7299-4479,徒歩,160,1250,2200,9
加藤 淳平,かとう じゅんぺい,北海道釧路市星が浦南4-1-3,31.91140,131.42313,71歳,男,P,1952-02-28,090-9451-1810,自転車,130,1300,2650,4
佐藤 哲朗,さとう てつろう,沖縄県那覇市首里金城町1-1-10,31.56016,130.5588,80歳,男,G,1942-09-09,080-6643-8983,自転車,160,1500,2550,4
平石 光,ひらいし ひかる,東京都港区新橋2-2-9,26.21299,127.68140,12歳,その他・不明,T,2011-01-17,090-4878-5942,バス,130,1100,2750,10
高橋 瞬,たかはし しゅん,青森県八戸市石堂2-5-6,43.06436,141.34657,45歳,男,H,1977-08-20,080-2842-6122,バス,140,1150,2450,10
吉田 暁,よしだ あき,東京都千代田区神田佐久間町2-1-3ブラームス509,40.82440,140.74344,87歳,その他・不明,A,1936-02-15,090-7696-0016,バス,20,1700,2800,8
中田 詩織,なかた しおり,兵庫県神戸市垂水区平磯1-3-304,39.70342,141.15220,61歳,女,N,1961-11-16,050-3573-2231,バス,130,1150,2550,7
石塚 メグミ,いしづか めぐみ,大阪府大阪市鶴見区横堤3-1-7,38.26885,140.87118,26歳,女,C,1996-12-17,070-0187-8918,徒歩,60,1800,2500,6
大澤 由紀,おおさわ ゆき,東京都中央区八丁堀2-5-21,39.71858,140.10256,45歳,女,N,1978-04-10,090-5960-8825,電車,180,1500,2550,6
三島 大貴,みしま たいき,東京都港区赤坂2-3-5ジェイグラン110,38.24018,140.36327,52歳,男,R,1971-05-25,090-6193-2955,バス,170,1750,2400,7
安川 一彦,やすかわ かずひこ,神奈川県横浜市都筑区東山田2-4-12,37.75172,140.46794,1歳,男,A,2021-12-09,050-2810-6016,バス,80,1550,2850,9
古田 隆夫,ふるた たかお,福岡県福岡市博多区博多駅南1-4-1208,36.34178,140.44698,2歳,男,Q,2020-06-23,070-0565-8465,電車,160,1650,2550,2
澤田 亜由美,さわだ あゆみ,埼玉県さいたま市浦和区木崎2-3-17,36.56522,139.88353,34歳,女,K,1988-10-20,090-6192-3667,電車,160,1600,2800,4
松井 良一,まつい りょう,東京都中央区日本橋本町2-3-1108,36.39127,139.06037,79歳,男,L,1943-10-13,090-4751-7618,電車,70,1800,2100,1
佐藤 あずさ,さとう あずさ,福岡県宗像市城西ヶ丘3-3-5ラフォーレ702,35.85697,139.6485,56歳,女,J,1967-03-12,090-4523-4233,徒歩,130,1650,3000,1
長倉 美和,ながくら みわ,広島県広島市南区皆実町4-1-10,35.60455,140.12350,28歳,女,L,1994-08-06,080-4345-6870,自転車,40,1500,2250,10
峯尾 サキ,みねお さき,大阪府大阪市中央区南船場2-2-7,35.68973,139.69179,81歳,その他・不明,S,1942-01-06,080-4257-4004,電車,50,1650,2300,7
加納 香織,かのう かおり,岐阜県岐阜市芥見1-2-4,35.44743,139.64266,70歳,女,N,1953-03-28,080-5529-6349,徒歩,140,1400,2100,2
谷村 匡,たにむら ただし,岡山県岡山市北区今4-2-5,37.90227,139.0231,26歳,男,C,1996-06-18,080-7261-6066,自転車,160,1200,2050,10
秋山 誠二,あきやま せいじ,東京都世田谷区粕谷3-1-309ソレイユ203,36.69592,137.21190,38歳,男,N,1984-07-29,070-9857-6443,徒歩,10,1050,2950,8
小栗 玲子,おぐり れいこ,東京都足立区六木3-2-1101,36.59411,136.62557,41歳,女,H,1981-07-24,050-9449-7812,徒歩,110,1950,2200,8
吉田 大悟,よしだ だいご,東京都渋谷区代々木3-3-5,36.06526,136.22113,15歳,男,T,2007-12-28,080-1825-4431,バス,30,1800,2050,8
青山 剛,あおやま つよし,東京都渋谷区神宮前2-2-10,35.66352,138.56851,27歳,男,M,1995-09-06,070-9335-7646,バス,90,1900,2600,8
野村 恭子,のむら きょうこ,東京都目黒区上目黒1-5-806,36.65198,138.18199,4歳,女,H,2018-11-22,050-5505-5917,自転車,120,1050,2100,9
廣瀬 信夫,ひろせ のぶお,東京都豊島区池袋本町3-3-3,35.39195,136.72235,2歳,男,L,2020-10-22,050-8641-0022,電車,140,1450,2350,1
久保 晃一,くぼ こういち,東京都足立区江北4-3-8,34.97634,138.38351,78歳,男,C,1944-08-10,090-1317-1660,徒歩,130,1400,2800,10
久保田 京子,くぼた きょうこ,愛知県名古屋市中村区大秋町1-3-8,35.18037,136.90622,4歳,女,C,2019-05-30,050-6206-7557,電車,10,1900,2600,6
伊奈 泰広,いな やすひろ,大阪府大阪市北区西天満1-4-19,34.73012,136.50835,34歳,その他・不明,A,1988-09-18,090-5531-1336,徒歩,140,1200,2100,10
藤野 文彦,ふじの ふみひこ,岐阜県多治見市音羽町1-3-9,35.00427,135.86848,10歳,男,D,2013-02-02,080-0332-0390,徒歩,170,1150,2100,3
白井 宏章,しらい ひろあき,石川県金沢市西念2-4-22,35.02194,135.75589,48歳,男,L,1975-04-16,090-6389-7633,電車,40,1450,2250,2
秋山 祥子,あきやま しょうこ,北海道札幌市厚別区厚別北五条1-2-206,34.68653,135.52728,90歳,女,J,1933-03-12,070-6873-2941,バス,80,1250,2900,7
横川 麻美,よこかわ あさみ,北海道北斗市七重浜1-4-9,34.69165,135.18370,79歳,女,I,1943-08-14,090-0310-4803,徒歩,170,1500,2950,5
兒玉 佳史,こだま よしふみ,千葉県市川市大野町3-3-1007,34.68518,135.83219,43歳,その他・不明,C,1979-08-07,050-1738-9604,自転車,130,1700,2500,10
板倉 淳,いたくら じゅん,東京都渋谷区神宮前2-1-6,34.22616,135.16711,39歳,男,R,1983-07-21,080-0120-8854,バス,130,1350,2550,1
中山 なお,なかやま なお,愛知県名古屋市千種区東山通3-2-21,35.50390,134.23889,75歳,男,N,1948-06-02,050-4471-9498,徒歩,40,1350,2500,1
後藤 夕紀,ごとう ゆうき,山口県下関市竹崎町1-5-21,35.47278,133.05063,99歳,女,S,1924-02-05,090-6722-4972,バス,50,1550,2400,5
相川 俊,あいかわ しゅん,熊本県熊本市東区東町1-3-106,34.66157,133.93565,99歳,男,H,1924-04-21,050-3154-3271,電車,60,1750,2550,8
山口 久美子,やまぐち くみこ,北海道札幌市中央区南一条東1-4-22,34.39681,132.45981,35歳,女,N,1987-10-16,080-8966-5801,バス,90,1150,2800,7
高浪 珠実,たかなみ たまみ,愛知県名古屋市名東区高針1-3-9,34.18527,131.47152,90歳,女,J,1932-09-15,080-2680-4851,電車,80,1100,2500,4
大屋 麻美子,おおや まみこ,兵庫県神戸市中央区琴ノ緒町2-2-9,34.06573,134.55958,80歳,女,J,1942-08-15,050-1340-8777,電車,20,1300,2900,5
前田 弘文,まえだ ひろふみ,千葉県船橋市西船1-1-409,34.34017,134.04319,58歳,男,Q,1964-07-13,050-5820-6131,自転車,40,1100,2850,1
花輪 昌明,はなわ まさあき,東京都豊島区池袋1-4-1101ワコーレ111,33.84170,132.76668,48歳,男,D,1974-11-14,070-2492-6034,自転車,100,1200,2350,3
福田 啓子,ふくだ けいこ,大阪府大阪市中央区本町1-5-1207,33.55942,133.53169,55歳,女,L,1967-12-30,090-4766-5923,自転車,150,1350,2800,3
山本 康史,やまもと やすし,長野県千曲市上山田温泉3-4-14,33.60622,130.41847,4歳,男,M,2018-11-26,070-0518-7588,徒歩,60,1250,2950,6
小川 正孝,おがわ まさたか,東京都港区虎ノ門4-2-7,33.24956,130.29837,8歳,男,S,2014-07-02,090-0266-4495,徒歩,70,1750,2050,8
